ref,greek_phrase,lemma,morphology,chosen_rendering,alternate_renderings,rationale,status,reviewer
Genesis 1:1,Ἐν ἀρχῇ,ἐν | ἀρχή,preposition + dative noun,at the beginning,"in beginning; at first","Natural English for a fronted temporal opening phrase.",drafted,
Genesis 1:1,ἐποίησεν,ποιέω,aorist active indicative 3 singular,made,"did; fashioned","Keeps the verb broad and direct without importing later technical wording.",drafted,
Genesis 1:1,τὸν οὐρανὸν καὶ τὴν γῆν,οὐρανός | γῆ,accusative singular objects,heaven and earth,"the sky and the earth; sky and land","In this paired expression the phrase works as a cosmic merism, so heaven and earth carries the full range better.",drafted,
Genesis 1:2,ἀόρατος καὶ ἀκατασκεύαστος,ἀόρατος | ἀκατασκεύαστος,nominative feminine singular adjectives,unseen and unformed,"invisible and unprepared; unformed and unready","Preserves the double description and keeps the line concrete.",drafted,
Genesis 1:2,σκότος ἐπάνω τῆς ἀβύσσου,σκότος | ἐπάνω | ἄβυσσος,noun + preposition + genitive phrase,darkness was over the abyss,"darkness lay over the abyss; darkness was over the deep","Abyss stays closer to abyssos while the clause remains plain and unforced.",drafted,
Genesis 1:2,πνεῦμα Θεοῦ ἐπεφέρετο,πνεῦμα | θεός | ἐπιφέρω,nominative noun + genitive noun + imperfect middle/passive 3 singular,a wind from God was moving,"God's Spirit was moving; God's breath-wind moved","For a creation-scene first draft, wind keeps the meteorological force alive while leaving Spirit as a real alternate.",drafted,
Genesis 1:2,ἐπάνω τοῦ ὕδατος,ἐπάνω | ὕδωρ,preposition + genitive noun,over the water,"above the waters","Greek uses singular hydatos as a mass noun here.",drafted,
Genesis 1:3,καὶ εἶπεν ὁ Θεός,καί | λέγω | θεός,conjunction + aorist active indicative 3 singular + nominative noun,and God said,"then God said","Keeps the repeated narrative cadence visible from clause to clause.",drafted,
Genesis 1:3,γενηθήτω φῶς,γίνομαι | φῶς,aorist passive imperative 3 singular + nominative noun,let light come to be,"let there be light; let light be","Keeps the force of ginomai instead of flattening it into bare existence.",drafted,
Genesis 1:3,καὶ ἐγένετο φῶς,γίνομαι | φῶς,aorist middle indicative 3 singular + nominative noun,and light came to be,"and there was light","Echoes the command verbally and keeps the narrative rhythm.",drafted,
Genesis 1:4,ὅτι καλόν,ὅτι | καλός,conjunction + nominative/adjective clause,that it was good,"that it was fitting; that it was beautiful","Keeps the clause direct and leaves καλός broad enough to carry value beyond mere utility.",drafted,
Genesis 1:4,διεχώρισεν,διαχωρίζω,aorist active indicative 3 singular,separated,"divided; marked off","Plain English fits the decisive act without losing force.",drafted,
Genesis 1:5,ἐκάλεσεν ἡμέραν / νύκτα,καλέω | ἡμέρα | νύξ,aorist active indicative + accusative predicate objects,called Day / called Night,"named Day / named Night","Keeps naming language visible and preserves the paired cadence.",drafted,
Genesis 1:5,ἡμέρα μία,ἡμέρα | εἷς,noun + cardinal adjective,day one,"first day","Keeps the cardinal wording visible instead of smoothing immediately to an ordinal.",drafted,
Genesis 1:6,στερέωμα,στερέωμα,accusative singular noun,firm span,"expanse; firmament; vault","Fresh English keeps the idea of something set firm without importing older church diction whole.",drafted,
Genesis 1:6,ἔστω διαχωρίζον,εἰμί | διαχωρίζω,present imperative + present participle,let it divide,"let it be dividing; let it separate","Readable English keeps the functional force of the participle.",drafted,
Genesis 1:7,ὑποκάτω / ἐπάνω,ὑποκάτω | ἐπάνω,prepositional contrasts,below / above,"under / over","Short pair preserves the spatial contrast cleanly.",drafted,
Genesis 1:8,οὐρανόν,οὐρανός,accusative singular noun,Heaven,"sky","In this naming line Heaven better matches the world-ordering register already set in verse 1.",drafted,
Genesis 1:8,ἡμέρα δευτέρα,ἡμέρα | δεύτερος,noun + ordinal adjective,second day,"day two","Greek shifts to an ordinal here, so English should show that shift.",drafted,
Genesis 1:9,συναγωγὴν μίαν,συναγωγή | εἷς,accusative noun phrase,one gathering,"one place; one collection","Keeps the gathering image alive instead of flattening it into a generic place.",drafted,
Genesis 1:9,ὀφθήτω ἡ ξηρά,ὁράω | ξηρά,aorist passive imperative + nominative noun,let the dry land appear,"let dry ground be seen","Keeps the emergence image visible.",drafted,
Genesis 1:10,τὴν ξηρὰν γῆν,ξηρός | γῆ,accusative adjective + noun,dry land,"earth; dry ground","Dry land fits the named feature in context before Earth appears as the given name.",drafted,
Genesis 1:10,τὰ συστήματα τῶν ὑδάτων,σύστημα | ὕδωρ,accusative plural noun phrase,the gathered waters,"the gathered systems of the waters; water-masses; collections of waters","Readable English compresses the phrase, while the footnote can preserve the fuller lexical picture.",drafted,
Genesis 1:11,κατὰ γένος καὶ καθ᾿ ὁμοιότητα,γένος | ὁμοιότης,paired prepositional phrases,according to kind and likeness,"according to kind and according to form; by kind and resemblance","Keeps both terms visible instead of collapsing the second into a duplicate.",drafted,
Genesis 1:12,ἐξήνεγκεν,ἐκφέρω,aorist active indicative 3 singular,brought forth,"brought out; produced","Fits the earth-as-source imagery without sounding mechanical.",drafted,
Genesis 1:13,ἡμέρα τρίτη,ἡμέρα | τρίτος,noun + ordinal adjective,third day,"day three","Keeps the ordinal sequence explicit.",drafted,
Genesis 1:14,φωστῆρες,φωστήρ,nominative plural noun,light-bearers,"lights; luminaries","Fresh English preserves the sense of bodies that bear or give light.",drafted,
Genesis 1:15,ὥστε φαίνειν,ὥστε | φαίνω,conjunction + present infinitive,so as to shine,"to give light; to shine","Keeps the purpose-result nuance of the clause.",drafted,
Genesis 1:16,εἰς ἀρχὰς τῆς ἡμέρας / τῆς νυκτός,ἀρχή,prepositional domain phrases,for the dominion of the day / night,"for rule over the day / night; for the beginnings of the day / night","Dominion keeps the governing sense alive while marking that the Greek uses a noun rather than a verb.",drafted,
Genesis 1:17,ἔθετο,τίθημι,aorist active indicative 3 singular,placed,"set; positioned","Simple English fits the ordered-placement scene.",drafted,
Genesis 1:18,ἄρχειν,ἄρχω,present infinitive,rule,"govern","Short verb matches the functional role of the lights.",drafted,
Genesis 1:20,ἑρπετὰ ψυχῶν ζωσῶν,ἑρπετόν | ψυχή | ζῶσα,accusative plural phrase,swarming living creatures,"creeping living things; crawling creatures with life","Swarming catches broader life-in-motion better than a narrow reptile sense.",drafted,
Genesis 1:21,κήτη τὰ μεγάλα,κῆτος | μέγας,accusative plural phrase,great sea-creatures,"great sea monsters; great marine creatures","Sea-creatures stays broad without muting the scale.",drafted,
Genesis 1:22,αὐξάνεσθε καὶ πληθύνεσθε,αὐξάνω | πληθύνω,present imperatives,increase and multiply,"grow and multiply","Keeps the blessing formula recognizable.",drafted,
Genesis 1:24,ψυχὴν ζῶσαν,ψυχή | ζῶσα,accusative singular collective phrase,living creatures,"living being; living soul","Plural English reads naturally while preserving animate life.",drafted,
Genesis 1:25,κτήνη,κτῆνος,accusative plural noun,livestock,"cattle; domestic animals","Livestock fits modern English while keeping domesticated-animal sense.",drafted,
Genesis 1:26,ἄνθρωπον,ἄνθρωπος,accusative singular noun,humankind,"human; the human","Collective English handles the verse's singular-to-plural shift best for now.",drafted,
Genesis 1:26,κατ᾿ εἰκόνα ἡμετέραν καὶ καθ᾿ ὁμοίωσιν,εἰκών | ὁμοίωσις,paired prepositional phrases,according to our image and according to likeness,"in our image and likeness","Keeps both nouns audible instead of collapsing them too quickly.",drafted,
Genesis 1:27,ἄρσεν καὶ θῆλυ,ἄρσην | θῆλυ,paired predicates,male and female,"man and woman","Closer to the paired sex terms used in the Greek line.",drafted,
Genesis 1:28,κατακυριεύσατε,κατακυριεύω,aorist active imperative 2 plural,subdue,"bring under rule; master","Subdue preserves the stronger force of the compound verb.",drafted,
Genesis 1:29,χόρτον σπόριμον σπεῖρον σπέρμα,χόρτος | σπόριμος | σπείρω | σπέρμα,stacked accusative phrase,seed-bearing plant that sows seed,"every seed-bearing herb; every seeding plant","Keeps the reproductive wording foregrounded.",drafted,
Genesis 1:30,ψυχὴν ζωῆς,ψυχή | ζωή,accusative noun phrase,living breath,"living soul; life-breath","Living breath keeps animate vitality visible without overly theological loading.",drafted,
Genesis 1:31,καλά λίαν,καλός | λίαν,predicate adjective + adverb,very good,"exceedingly good; very fitting","Simple English captures the climactic intensification.",drafted,
Genesis 2:1,κόσμος,κόσμος,nominative singular noun,ordered array,"world; ornament; order","Ordered array keeps the sense of an arranged totality without importing modern planet-language too quickly.",drafted,
Genesis 2:2,ἐν τῇ ἡμέρᾳ τῇ ἕκτῃ,ἕκτος,prepositional time phrase,on the sixth day,"on day six; in the sixth day","Keeps the Greek reading visible at a key textual point.",drafted,
Genesis 2:2,κατέπαυσε,καταπαύω,aorist active indicative 3 singular,rested,"ceased; stopped","Rested is natural English, while the footnote can preserve cessation nuance if needed.",drafted,
Genesis 2:3,ἡγίασεν,ἁγιάζω,aorist active indicative 3 singular,made it holy,"sanctified it; hallowed it","Plain English keeps the consecration idea readable.",drafted,
Genesis 2:3,ὧν ἤρξατο ὁ Θεὸς ποιῆσαι,ἄρχω | ποιέω,relative clause with complementary infinitive,the works God had begun to make,"which God began to make","Keeps the odd final wording audible rather than smoothing it away.",drafted,
Genesis 2:4,βίβλος γενέσεως,βίβλος | γένεσις,nominative heading phrase,the book of the genesis,"the record of origins; the account of becoming","Keeps the heading's explicit genesis-language visible.",drafted,
Genesis 2:5,ἄνθρωπος οὐκ ἦν ἐργάζεσθαι αὐτήν,ἄνθρωπος | ἐργάζομαι,noun + infinitive clause,there was no human to work it,"no one was there to cultivate it","Keeps the labor motif visible before the formed human appears.",drafted,
Genesis 2:6,πηγή,πηγή,nominative singular noun,spring,"mist; fountain; water source","Spring fits the rising-water image better than a vague mist for now.",drafted,
Genesis 2:7,ἔπλασεν,πλάσσω,aorist active indicative 3 singular,formed,"fashioned; shaped","Formed keeps the hands-on shaping image clear.",drafted,
Genesis 2:7,πνοὴν ζωῆς,πνοή | ζωή,accusative noun phrase,the breath of life,"breath of living; life-breath","Classic phrase but still direct and concrete.",drafted,
Genesis 2:8,παράδεισον,παράδεισος,accusative singular noun,garden,"park; paradise","Garden reads naturally while remaining open to richer park imagery in notes.",drafted,
Genesis 2:9,τὸ ξύλον τοῦ εἰδέναι γνωστὸν καλοῦ καὶ πονηροῦ,ξύλον | εἰδέναι | γνωστός,genitive + infinitive phrase,the tree of knowing good and evil,"the tree of knowing what is known of good and evil","The Greek is odd, but this draft keeps the familiar core without pretending the syntax is simple.",drafted,
Genesis 2:10,εἰς τέσσαρας ἀρχάς,ἀρχή,prepositional phrase,into four heads,"into four sources; into four branches","Heads is traditional and maps well to river-head language.",drafted,
