entry_id,english_heading,greek_lemma,transliteration,testament,greek_forms,english_renderings,priority,include,note
god,God,θεός,theos,both,θεός;θεοῦ;θεῷ;θεόν;θεέ;θεοί;θεῶν;θεοῖς;θεούς;θεοι;θεου;θεω;θεον;θεε;θεων;θεοις;θεους,God;god,g1,no,Core divine title. Excluded from compact candidate because full verse list alone overwhelms 30-page target.
lord,Lord,κύριος,kyrios,both,κύριος;κυρίου;κυρίῳ;κύριον;κύριε;κύριοι;κυρίων;κυρίοις;κυρίους;κυριος;κυριου;κυριω;κυριον;κυριε;κυριοι;κυριων;κυριοις;κυριους,Lord;lord;master,g1,no,Divine title and human master term. Excluded from compact candidate because full verse list alone overwhelms 30-page target.
spirit,Spirit / Wind / Breath,πνεῦμα,pneuma,both,πνεῦμα;πνεύματος;πνεύματι;πνεύματα;πνευμάτων;πνεύμασι;πνευμα;πνευματος;πνευματι;πνευματα;πνευματων;πνευμασι,Spirit;spirit;wind;breath,g1,yes,Useful where Greek pneuma is rendered by several English words.
soul,Soul / Life,ψυχή,psyche,both,ψυχή;ψυχῆς;ψυχῇ;ψυχήν;ψυχαί;ψυχῶν;ψυχαῖς;ψυχάς;ψυχη;ψυχης;ψυχη;ψυχην;ψυχαι;ψυχων;ψυχαις;ψυχας,soul;life,g1,no,Important term, but excluded from compact candidate until a tighter selection policy is set.
life,Life,ζωή,zoe,both,ζωή;ζωῆς;ζωῇ;ζωήν;ζωαί;ζωῶν;ζωαῖς;ζωάς;ζωη;ζωης;ζωη;ζωην;ζωαι;ζωων;ζωαις;ζωας,life;living,g1,yes,Life as zoe, separate from psyche.
word,Word / Saying,λόγος,logos,both,λόγος;λόγου;λόγῳ;λόγον;λόγε;λόγοι;λόγων;λόγοις;λόγους;λογος;λογου;λογω;λογον;λογε;λογοι;λογων;λογοις;λογους,word;words;saying;sayings;matter;account,g1,no,Broad word/speech/matter term. Excluded from compact candidate because full verse list is too large for a 30-page appendix.
love,Love,ἀγάπη,agape,both,ἀγάπη;ἀγάπης;ἀγάπῃ;ἀγάπην;ἀγάπαι;ἀγαπῶν;ἀγάπαις;ἀγάπας;αγαπη;αγαπης;αγαπη;αγαπην;αγαπαι;αγαπων;αγαπαις;αγαπας,love,g1,yes,Core love noun.
faith,Faith / Trust,πίστις,pistis,both,πίστις;πίστεως;πίστει;πίστιν;πίστεις;πίστεων;πίστεσι;πίστεις;πιστις;πιστεως;πιστει;πιστιν;πιστεις;πιστεων;πιστεσι,faith;trust;faithfulness,g1,yes,Faith/trust/faithfulness term.
righteousness,Righteousness / Justice,δικαιοσύνη,dikaiosyne,both,δικαιοσύνη;δικαιοσύνης;δικαιοσύνῃ;δικαιοσύνην;δικαιοσύναι;δικαιοσυνῶν;δικαιοσύναις;δικαιοσύνας;δικαιοσυνη;δικαιοσυνης;δικαιοσυνη;δικαιοσυνην;δικαιοσυναι;δικαιοσυνων;δικαιοσυναις;δικαιοσυνας,righteousness;justice,g1,yes,Key righteousness/justice noun.
law,Law,νόμος,nomos,both,νόμος;νόμου;νόμῳ;νόμον;νόμοι;νόμων;νόμοις;νόμους;νομος;νομου;νομω;νομον;νομοι;νομων;νομοις;νομους,law;laws,g1,yes,Law/custom term.
grace,Grace / Favor,χάρις,charis,both,χάρις;χάριτος;χάριτι;χάριν;χάριτες;χαρίτων;χάρισι;χαρις;χαριτος;χαριτι;χαριν;χαριτες;χαριτων;χαρισι,grace;favor;thanks,g1,yes,Grace/favor/thanks term.
