ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation
Genesis 1:1,GEN,Genesis,1,1,Ἐν ἀρχῇ ἐποίησεν ὁ Θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.,En arche epoiesen ho Theos ton ouranon kai ten gen.,In beginning God made heaven and earth.,Fronted temporal phrase. Aorist main verb. Paired direct objects form a cosmic merism.,"In the beginning, God made heaven and earth."
Genesis 1:2,GEN,Genesis,1,2,"ἡ δὲ γῆ ἦν ἀόρατος καὶ ἀκατασκεύαστος, καὶ σκότος ἐπάνω τῆς ἀβύσσου, καὶ πνεῦμα Θεοῦ ἐπεφέρετο ἐπάνω τοῦ ὕδατος.","he de ge en aoratos kai akataskeuastos, kai skotos epano tes abyssou, kai pneuma Theou epephereto epano tou hydatos.","But the earth was unseen and unformed, and darkness over the abyss, and the Spirit of God moved over the water.",De marks a mild contrastive scene shift after the opening creation statement. Three linked clauses describe the world's condition. Imperfect epephereto presents ongoing motion.,"But the earth was unseen and unformed, darkness was over the abyss, and the Spirit of God moved over the water."
Genesis 1:3,GEN,Genesis,1,3,καὶ εἶπεν ὁ Θεός· γενηθήτω φῶς· καὶ ἐγένετο φῶς.,"kai eipen ho Theos, genetheto phos, kai egeneto phos.","And God said, let light come to be, and light came to be.",The command uses aorist passive imperative as a jussive. The reply clause repeats ginomai for fulfillment.,"And God said, 'Let light come to be.' And light came to be."
Genesis 1:4,GEN,Genesis,1,4,"καὶ εἶδεν ὁ Θεὸς τὸ φῶς, ὅτι καλόν· καὶ διεχώρισεν ὁ Θεὸς ἀνὰ μέσον τοῦ φωτὸς καὶ ἀνὰ μέσον τοῦ σκότους.","kai eiden ho Theos to phos, hoti kalon; kai diechorisen ho Theos ana meson tou photos kai ana meson tou skotous.","And God saw the light, that it was good, and God separated between the light and between the darkness.",The ὅτι clause gives God's evaluation of the light. Repeated ἀνὰ μέσον marks a formal act of division.,"And God saw the light, that it was good. And God separated the light from the darkness."
Genesis 1:5,GEN,Genesis,1,5,"καὶ ἐκάλεσεν ὁ Θεὸς τὸ φῶς ἡμέραν καὶ τὸ σκότος ἐκάλεσε νύκτα. καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα μία.","kai ekalesen ho Theos to phos hemeran kai to skotos ekalese nykta. kai egeneto hespera kai egeneto proi, hemera mia.","And God called the light day and the darkness he called night, and evening came and morning came, day one.",Naming formula gives ordered functions. The closing line keeps the narrative refrain and uses the cardinal μία rather than an ordinal.,"And God called the light Day, and the darkness he called Night. And evening came, and morning came: day one."
Genesis 1:6,GEN,Genesis,1,6,Καὶ εἶπεν ὁ Θεός· γενηθήτω στερέωμα ἐν μέσῳ τοῦ ὕδατος καὶ ἔστω διαχωρίζον ἀνὰ μέσον ὕδατος καὶ ὕδατος. καὶ ἐγένετο οὕτως.,"Kai eipen ho Theos, genetheto stereoma en meso tou hydatos kai esto diachorizon ana meson hydatos kai hydatos. kai egeneto houtos.","And God said, let a firm span come to be in the middle of the water and let it be dividing between water and water, and it came to be so.","Two linked jussives shape the command. στερέωμα carries a sense of something set firm, while διαχωρίζον presents ongoing separating function.","And God said, 'Let a firm span come to be in the middle of the water, and let it divide water from water.' And it came to be so."
Genesis 1:7,GEN,Genesis,1,7,"καὶ ἐποίησεν ὁ Θεὸς τὸ στερέωμα, καὶ διεχώρισεν ὁ Θεὸς ἀνὰ μέσον τοῦ ὕδατος, ὃ ἦν ὑποκάτω τοῦ στερεώματος, καὶ ἀναμέσον τοῦ ὕδατος τοῦ ἐπάνω τοῦ στερεώματος.","kai epoiesen ho Theos to stereoma, kai diechorisen ho Theos ana meson tou hydatos, ho en hypokato tou stereomatos, kai ana meson tou hydatos tou epano tou stereomatos.","And God made the firm span, and God separated between the water that was below the firm span and between the water above the firm span.","The relative clause identifies the lower water first, then balances it with the upper water. The repeated noun keeps the structure explicit.","And God made the firm span, and God separated the water below the firm span from the water above the firm span."
Genesis 1:8,GEN,Genesis,1,8,"καὶ ἐκάλεσεν ὁ Θεὸς τὸ στερέωμα οὐρανόν. καὶ εἶδεν ὁ Θεός, ὅτι καλόν, καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωΐ, ἡμέρα δευτέρα.","kai ekalesen ho Theos to stereoma ouranon. kai eiden ho Theos, hoti kalon, kai egeneto hespera kai egeneto proi, hemera deutera.","And God called the firm span heaven, and God saw that it was good, and evening came and morning came, second day.","The naming clause links στερέωμα with οὐρανός. Here the day formula shifts to an ordinal expression, δευτέρα.","And God called the firm span Heaven. And God saw that it was good. And evening came, and morning came: second day."
Genesis 1:9,GEN,Genesis,1,9,"Καὶ εἶπεν ὁ Θεός· συναχθήτω τὸ ὕδωρ τὸ ὑποκάτω τοῦ οὐρανοῦ εἰς συναγωγὴν μίαν, καὶ ὀφθήτω ἡ ξηρά. καὶ ἐγένετο οὕτως. καὶ συνήχθη τὸ ὕδωρ τὸ ὑποκάτω τοῦ οὐρανοῦ εἰς τὰς συναγωγὰς αὐτῶν, καὶ ὤφθη ἡ ξηρά.","Kai eipen ho Theos, synachtheto to hydor to hypokato tou ouranou eis synagogen mian, kai ophtheto he xera. kai egeneto houtos. kai synechthe to hydor to hypokato tou ouranou eis tas synagogas auton, kai ophthe he xera.","And God said, let the water below heaven be gathered into one gathering, and let the dry land appear, and it came to be so, and the water below heaven was gathered into their gatherings, and the dry land appeared.","The command pairs gathered water with appearing dry land. The fulfillment restates the action with plural συναγωγαί, which may suggest gathered regions or collected bodies.","And God said, 'Let the water below Heaven be gathered into one gathering, and let the dry land appear.' And it came to be so. And the water below Heaven was gathered into collections, and the dry land appeared."
Genesis 1:10,GEN,Genesis,1,10,"καὶ ἐκάλεσεν ὁ Θεὸς τὴν ξηρὰν γῆν καὶ τὰ συστήματα τῶν ὑδάτων ἐκάλεσε θαλάσσας. καὶ εἶδεν ὁ Θεός, ὅτι καλόν.","kai ekalesen ho Theos ten xeran gen kai ta systemata ton hydaton ekalese thalassas. kai eiden ho Theos, hoti kalon.","And God called the dry land earth and the gathered systems of the waters he called seas, and God saw that it was good.",The paired naming formula continues. συστήματα suggests gathered groupings or formed bodies rather than undifferentiated water.,"And God called the dry land Earth, and the gathered waters he called Seas. And God saw that it was good."
