"language","lemma","transliteration","meaning","english_renderings","first_reference","footnote"
"Hebrew","אֱלֹהִים","Elohim","God; mighty one(s)","God","Genesis 1:1","The most common opening name for God in Scripture; grammatically plural in form but regularly used with singular verbs for the one true God."
"Hebrew","אֵל","El","God; mighty one; strong one","God","Genesis 14:18","A basic Semitic word for God, often appearing alone or in compound divine names and titles."
"Hebrew","אֱלוֹהַּ","Eloah","God; mighty one","God","Deuteronomy 32:15","A singular poetic form related to Elohim, used especially in elevated or wisdom-style passages."
"Hebrew","יהוה","Yahweh","The LORD; He is; the Self-Existent One","LORD","Genesis 2:4","The covenant name of God, often represented in English Bibles as LORD in small capitals."
"Hebrew","יָהּ","Yah","Short form of Yahweh","LORD","Exodus 15:2","A poetic shortened form of the divine name, especially found in praise formulas like Hallelujah."
"Hebrew","אֶהְיֶה אֲשֶׁר אֶהְיֶה","Ehyeh Asher Ehyeh","I AM THAT I AM; I WILL BE WHAT I WILL BE","I AM THAT I AM","Exodus 3:14","God’s self-revelation to Moses from the burning bush, emphasizing His self-existence and faithfulness."
"Hebrew","אֵל שַׁדַּי","El Shaddai","God Almighty","Almighty God; God Almighty","Genesis 17:1","A patriarchal divine title emphasizing God’s overwhelming power and sufficiency."
"Hebrew","אֵל עֶלְיוֹן","El Elyon","God Most High","most high God; God most high","Genesis 14:18","Title emphasizing God’s absolute supremacy over heaven, earth, kings, and nations."
"Hebrew","אֵל עוֹלָם","El Olam","Everlasting God","everlasting God","Genesis 21:33","Highlights God’s eternal nature and enduring covenant faithfulness."
"Hebrew","אֵל רֳאִי","El Roi","God who sees me; God of seeing","God sees me","Genesis 16:13","Hagar’s name for God after He saw her affliction in the wilderness."
"Hebrew","אֵל בֵּית־אֵל","El Bethel","God of Bethel","God of Bethel","Genesis 31:13","Connects God’s revealed presence to the place where He appeared to Jacob."
"Hebrew","אֱלֹהֵי אַבְרָהָם","Elohe Avraham","God of Abraham","God of Abraham","Genesis 26:24","A covenant formula identifying God by His faithful relationship to the patriarchs."
"Hebrew","אֱלֹהֵי יִצְחָק","Elohe Yitzchak","God of Isaac","God of Isaac","Genesis 28:13","Continues the covenant identification of God with the patriarchal line."
"Hebrew","אֱלֹהֵי יַעֲקֹב","Elohe Yaakov","God of Jacob","God of Jacob","Exodus 3:6","A key covenant formula tying God’s present action to His promises to the fathers."
"Hebrew","יְהוָה אֱלֹהִים","Yahweh Elohim","LORD God","LORD God","Genesis 2:4","Combines the covenant name with the general divine title, stressing both God’s majesty and personal covenant relation."
"Hebrew","אֲדֹנָי","Adonai","Lord; Master","Lord","Genesis 15:2","A reverent title for God’s lordship, sovereignty, and authority."
"Hebrew","אֲדֹנָי יְהוִה","Adonai Yahweh","Lord GOD","Lord GOD","Genesis 15:2","A solemn compounded form often rendered Lord GOD, especially in prophetic and covenant contexts."
"Hebrew","יְהוָה יִרְאֶה","Yahweh Yireh","The LORD will provide; The LORD will see","The LORD will provide","Genesis 22:14","Abraham’s memorial name after God provided the ram in Isaac’s place."
"Hebrew","יְהוָה רֹפְאֶךָ","Yahweh Rapha","The LORD who heals","the LORD that healeth thee","Exodus 15:26","Reveals God as healer, both physically and covenantally."
"Hebrew","יְהוָה נִסִּי","Yahweh Nissi","The LORD is my banner","The LORD my banner","Exodus 17:15","Moses’ altar-name after victory over Amalek, portraying God as the standard and rallying point of His people."
"Hebrew","יְהוָה מְקַדִּשְׁכֶם","Yahweh Mekaddishkem","The LORD who sanctifies you","the LORD that doth sanctify you","Exodus 31:13","Stresses that holiness is not self-produced but given by God."
"Hebrew","יְהוָה שָׁלוֹם","Yahweh Shalom","The LORD is peace","The LORD is peace","Judges 6:24","Gideon’s altar-name after encountering God’s reassurance in fearful days."
"Hebrew","יְהוָה צְבָאוֹת","Yahweh Tsevaot","The LORD of hosts; LORD of armies","LORD of hosts","1 Samuel 1:3","Presents God as commander of the heavenly armies and sovereign ruler over all powers."
"Hebrew","יְהוָה עֶלְיוֹן","Yahweh Elyon","The LORD Most High","the LORD most high","Psalm 7:17","Joins the covenant name with the title Most High to stress His supreme rule."
"Hebrew","יְהוָה רֹעִי","Yahweh Roi","The LORD my shepherd","The LORD is my shepherd","Psalm 23:1","David’s intimate confession of God’s personal guidance, provision, and care."
"Hebrew","יְהוָה צִדְקֵנוּ","Yahweh Tsidkenu","The LORD our righteousness","THE LORD OUR RIGHTEOUSNESS","Jeremiah 23:6","A messianic and covenantal name showing God as the source of His people’s righteousness."
"Hebrew","יְהוָה שָׁמָּה","Yahweh Shammah","The LORD is there","The LORD is there","Ezekiel 48:35","The closing name of Ezekiel’s restored city, centered on God’s abiding presence."
"Hebrew","קְדוֹשׁ יִשְׂרָאֵל","Qedosh Yisrael","Holy One of Israel","Holy One of Israel","2 Kings 19:22","A major prophetic title, especially in Isaiah, exalting God’s transcendence and covenant holiness."
"Hebrew","מֶלֶךְ הָעוֹלָם","Melekh ha-Olam","King of the universe; everlasting King","King for ever and ever","Psalm 10:16","A royal title stressing God’s universal reign and eternal kingship."
"Hebrew","אָבִינוּ","Avinu","Our Father","our father","Isaiah 63:16","A covenantal and relational address to God as Father of His people."
"Hebrew","עַתִּיק יוֹמִין","Attiq Yomin","Ancient of Days","Ancient of days","Daniel 7:9","Daniel’s majestic vision-title for God’s eternal authority and righteous judgment."
"Hebrew","שֹׁמֵר יִשְׂרָאֵל","Shomer Yisrael","Keeper of Israel","he that keepeth Israel","Psalm 121:4","Declares God’s sleepless covenant protection over His people."
"Hebrew","גֹּאֵל","Goel","Redeemer; Kinsman-Redeemer","redeemer","Job 19:25","Proclaims God as the one who vindicates, rescues, and stands for His own."
"Hebrew","צוּר","Tsur","Rock","Rock","Deuteronomy 32:4","A foundational metaphor for God’s stability, faithfulness, justice, and protection."
