ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation,gate_reason
Exodus 20:24,Exodus,20,24,high,35,3,3,3,3,"Acts 15:17, James 2:7, Romans 2:17",43,0,4,2,1,0,0,0,1,unclear,keep,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, name, peace, sacrifice, salvation","decisions=3; footnotes=3; reviewed_decisions=3; importance=high; keywords=altar, name, peace, sacrifice, salvation; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=43; crossref_shared_family=4; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","""You shall make me an altar of earth, and upon it you shall sacrifice your whole burnt offerings and your offerings of salvation, your sheep and your calves. In every place where I cause my name to be called, I will come to you and bless you.""","Ye shall make to me an altar of earth; and upon it ye shall sacrifice your whole burnt-offerings, and your peace-offerings, and your sheep and your calves in every place, where I shall record my name; and I will come to thee and bless thee.",score>=12; importance=high; decisions=3; footnotes=3; nt=3; nt_eng=9; nt_eng_reco=keep; logos=1; logos_reco=keep; eng=2; eng_reco=keep; reco=keep
Leviticus 4:31,Leviticus,4,31,high,34,2,2,0,0,,6,2,2,2,1,0,0,1,0,unclear,keep,0,0,0,0,,,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, lord, peace, priest, sacrifice, salvation, sin","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=altar, lord, peace, priest, sacrifice, salvation; crossref_top_vote=6; crossref_shared_family=2; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","And he shall remove all the fat, just as the fat is removed from the sacrifice of salvation, and the priest shall offer it on the altar as an aroma of sweet fragrance to the Lord. And the priest shall make atonement for him, and it shall be forgiven him.","And he shall take away all the fat, as the fat is taken away from the sacrifice of peace-offering, and the priest shall offer it on the altar for a smell of sweet savour to the Lord; and the priest shall make atonement for him, and his sin shall be forgiven him.",score>=12; importance=high; decisions=2; footnotes=2; logos=1; logos_reco=keep; eng=2; eng_reco=keep; reco=keep
1 Kings 2:35,1 Kings,2,35,high,32,2,2,0,0,,5,1,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"altar, being, hades, king, lord, peace, priest, seed","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=altar, being, hades, king, lord, peace; crossref_top_vote=5; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","And the king gave Banaiou son of Iodae in his place over the generalship, and the kingdom was being set right in Ierousalem, and the king gave Sadok the priest as first priest instead of Abiathar. And the Lord gave understanding to Solomon and very much wisdom and breadth of heart like the sand that is beside the sea. And the understanding of Solomon was multiplied greatly beyond the understanding of all the ancients and beyond all the wise of Egypt. And he took the daughter of Pharao and brought her into the City of David until he finished his own house and the house of the Lord first and the wall of Ierousalem all around. In seven years he made it and finished it. And Solomon had seventy thousand carrying burdens and eighty thousand stonecutters in the mountain. And Solomon made the Sea and the bases and the great basins and the pillars and the fountain of the court and the bronze sea. And he built the citadel and its battlements and cut through the City of David. Thus the daughter of Pharao was going up from the City of David into her house that he built for her. Then he built the citadel. And Solomon offered up three times in the year whole burnt offerings and peace offerings on the altar that he built to the Lord and was burning incense before the Lord and finished the house. And these were the rulers set over the works of Solomon, three thousand six hundred overseers of the people doing the works. And he built Assour and Magdo and Gazer and upper Baithoron and Baalath. But after he built the house of the Lord and the wall of Ierousalem all around, after these things he built these cities. And while David was still living he commanded Solomon, saying, Behold, with you is Semei son of Gera, son of the seed of the Jeminaian from Chebron. He cursed me with a grievous curse on the day when I was going to the Camps, and he came down to meet me at the Jordan, and I swore to him by the Lord, saying, He shall not be put to death by the sword. And now do not hold him guiltless, because you are a prudent man and you will know what you will do to him, and you will bring his gray hair down in blood to Hades.","And the king appointed Banæas son of Jodae in his place over the host; and the kingdom was established in Jerusalem; and as for Sadoc the priest, the king appointed him to be high priest in the room of Abiathar. And Solomon son of David reigned over Israel and Juda in Jerusalem:",score>=12; importance=high; decisions=2; footnotes=2; eng=2; eng_reco=keep; reco=keep
2 Chronicles 33:16,2 Chronicles,33,16,high,31,2,2,0,0,,2,0,2,2,1,0,0,0,1,unclear,keep,0,0,0,0,,,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, god, lord, peace, sacrifice, salvation","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=altar, god, lord, peace, sacrifice, salvation; crossref_top_vote=2; crossref_shared_family=2; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","And he restored the altar of the Lord and sacrificed upon it a sacrifice of salvation and of praise, and told Iouda to serve the Lord God of Israel.","And he repaired the altar of the Lord, and offered upon it a sacrifice of peace-offering and thank-offering, and he told Juda to serve the Lord God of Israel.",score>=12; importance=high; decisions=2; footnotes=2; logos=1; logos_reco=keep; eng=2; eng_reco=keep; reco=keep
2 Kings 17:34,2 Kings,17,34,high,31,2,2,0,0,,5,0,0,2,0,0,0,2,0,unclear,needs_logos,0,0,0,0,,,0,,,,,,,needs_logos,"judgment, law, lord, name","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=judgment, law, lord, name; crossref_top_vote=5; eng=fresh:0/brenton:0/mt:0; eng_reco=needs_logos; eng_flags=unclear; reco=needs_logos","Until this day they act according to their custom. They fear, and they act according to their ordinances and according to their judgment and according to the law and according to the commandment which the Lord commanded the sons of Iakōb, whom he named Israel.","Until this day they did according to their manner: they fear the Lord, and they do according to their customs, and according to their manner, and according to the law, and according to the commandment which the Lord commanded the sons of Jacob, whose name he made Israel.",score>=12; importance=high; decisions=2; footnotes=2; eng=2; eng_reco=needs_logos; reco=needs_logos
Deuteronomy 16:2,Deuteronomy,16,2,high,31,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",5,5,2,2,2,0,0,0,0,,keep,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, lord, name, sacrifice","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, lord, name, sacrifice; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=5; crossref_shared_family=2; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And you shall sacrifice the Passover to the Lord your God, sheep and cattle, in the place that the Lord your God chooses for his name to be called there.","And thou shalt sacrifice the passover to the Lord thy God, sheep and oxen in the place which the Lord thy God shall choose to have his name called upon it.",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; eng=2; eng_reco=keep; reco=keep
2 Chronicles 12:13,2 Chronicles,12,13,high,30,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",5,0,3,2,1,0,0,1,0,unclear,keep,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"king, lord, name","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=king, lord, name; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=5; crossref_shared_family=3; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And Rehoboam was strengthened in Jerusalem and reigned. Rehoboam was forty-one years old when he began to reign, and he reigned seventeen years in Jerusalem, in the city which the Lord chose from all the tribes of the sons of Israel to have his name called there, and his mother's name was Naamah the Ammonite.","So king Roboam strengthened himself in Jerusalem, and reigned: and Roboam was forty and one years old when he began to reign, and he reigned seventeen years in Jerusalem, in the city which the Lord chose out of all the tribes of the children of Israel to call his name there: and his mother's name was Noomma the Ammanitess.",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; eng=2; eng_reco=keep; reco=keep
Deuteronomy 12:21,Deuteronomy,12,21,high,30,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",3,0,6,2,2,0,0,0,0,,keep,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, lord, name, soul","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, lord, name, soul; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=3; crossref_shared_family=6; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And if the place that the Lord your God chooses for his name to be called there is farther from you, then you shall slaughter from your cattle and from your sheep that God gave you, in the way I commanded you, and you shall eat in your cities according to the desire of your soul.","And if the place be far from thee, which the Lord thy God shall choose for himself, that his name be called upon it, then thou shalt kill of thy herd and of thy flock which God shall have given thee, even as I commanded thee, and thou shalt eat in thy cities according to the desire of thy soul.",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; eng=2; eng_reco=keep; reco=keep
Deuteronomy 12:26,Deuteronomy,12,26,high,30,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",4,0,2,0,0,0,0,0,0,,,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, holy, lord, name","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, holy, lord, name; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=4; crossref_shared_family=2; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","Except your holy things that you may have, and your vows, taking them you shall come to the place that the Lord your God chooses for his name to be called there.","But thou shalt take thy holy things, if thou hast any, and thy vowed-offerings, and come to the place which the Lord thy God shall choose to have his name named upon it.",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; reco=keep
Nehemiah 10:34,Nehemiah,10,34,high,30,2,2,0,0,,6,1,0,0,0,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"altar, god, holy, law, lord, sacrifice, sin","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=altar, god, holy, law, lord, sacrifice; crossref_top_vote=6; eng_reco=keep; reco=keep","for bread of the presence and sacrifice of the continual offering and for continual whole burnt offering of the Sabbaths, of the new moons, for the feasts and for the holy things and for the sin offerings to make atonement concerning Israel, and for works of house of our God.","And we cast lots for the office of wood-bearing, we the priests, and the Levites, and the people, to bring wood into the house of our God, according to the house of our families, at certain set times, year by year, to burn on the altar of the Lord our God, as it is written in the law:",score>=12; importance=high; decisions=2; footnotes=2; eng_reco=keep; reco=keep
